Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Operationalizing water-energy-food nexus research for sustainable development in social-ecological systems: an interdisciplinary learning case in Central Asia,"Hamidov, A.; Daedlow, K.; Webber, H.; Hussein, H.; Abdurahmanov, I.; Dolidudko, A.; Seerat, A.Y.; Solieva, U.; Woldeyohanes, T.; Helming, K.","In social-ecological systems, natural resource management can be characterized by trade-offs across sectors and sustainability targets. The water-energy-food (WEF) nexus concept makes explicit various trade-offs in order to maximize synergies of interventions. However, there are few successful examples of its operationalization in research settings. Here, we explore in a learning setting if sustainability impact assessment (SIA) protocols can be a useful process to be used to adopt a systemic, interdisciplinary perspective to operationalize WEF nexus in research for sustainable development. The process and method adopted of SIA protocol, evaluated for five exemplary WEF nexus cases in Central Asia during a week-long international workshop, adequately addressed the complexity of WEF interrelationships and associated sustainability issues, and facilitated a comparative case study analysis across scales. Results within this process highlight that water governance was critical for large-scale transboundary WEF nexus management, while land and soil management were decisive for minimizing trade-offs at local levels. Issues of interdisciplinarity, complexity, uncertainty, and reflection on impacts were adequately addressed, but challenges remain in the consideration of ethics and the design of transparent, multi-actor cooperation. Most importantly, this exercise showed that employment of the process of SIA protocol supported disciplinary experts to work across disciplines and take a systemic approach for analyzing WEF nexus. © 2022 by the author(s).",2022,,Ecol. Soc.,27,1,,,10.5751/ES-12891-270112,,#110,Hamidov 2022,"",""
Governing complex environmental policy mixes through institutional bricolage: lessons from the water-forestry-energy-climate nexus,"Leong, C.; Howlett, M.; Lai, T.","Policy mixes come in many shapes and sizes. This poses many challenges to policy design, especially when mixes extend across sectors and have multiple levels. This is the case with the Water-Forest-Energy-Climate (WFEC) nexus, a complex policy mix that involves not only significant cross-sectoral linkages and the potential complementarities and conflicts which are examined in other articles in this special issue, but also deals with sectors which involve significant national and trans-national elements. This complex multi-sector, multi-level policy assemblage also lacks the cohesion provided by a treaty-based international regime which allows multi-level co-ordination and integration of policy designs in areas such as trade or finance. In such policy non-regime or weak regime complexes, regional agreements and the negotiated nature of interactions within such agreements (which we see as a form of ‘policy bricolage’) are critical but overlooked factors affecting policy success. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",2022,,J. Environ. Policy Plann.,24,5,540-552,,10.1080/1523908X.2021.2015684,,#120,Leong 2022,"Aliny Pires (2023-03-20 19:01:44)(Screen): I would say it is a very good reference for our chapter and maybe a interesting concept to be adopted, but let's check the main text.; ",""
A new way forward for ocean-climate policy as reflected in the UNFCCC Ocean and Climate Change Dialogue submissions,"Dobush, B.-J.; Gallo, N.D.; Guerra, M.; Guilloux, B.; Holland, E.; Seabrook, S.; Levin, L.A.","The ocean plays a central role in climate change mitigation and adaptation. However, climate and ocean policies have been historically siloed. After decades of slow convergence, the Ocean and Climate Change Dialogue, decided at COP25 and launched online in December 2020, was the first forum for Parties and non-Party stakeholders to the UNFCCC to give their perspectives on how the climate regime should address ocean-related mitigation and adaptation. The Ocean Dialogue was informed by 47 prior open submissions provided by a broad swath of actors from across the UN system and from civil society, including traditional and youth voices. Our analysis of the submissions demonstrates a political evolution towards the nexus among climate, ocean, and biodiversity regimes. The submissions uniformly acknowledge that ocean and climate systems are inextricably linked, and that consideration of ocean-based action will strengthen climate action and vice versa. Salient themes of the submissions include changing ocean impacts, carbon sinks and blue carbon opportunities, and the need for ecosystem resilience, biodiversity management and improved understanding of normative and institutional frameworks. There is a strong call to recognize the interconnectedness of the biophysical world. Similar themes emerged during the actual Ocean Dialogue and the subsequent informal meeting on next steps. The main message conveyed is the dire necessity to implement strong stewardship and good governance of the blue planet in a disrupted climate using cooperative and concrete actions. This analysis highlights the need for a continued transdisciplinary international dialogue on the ocean and climate change which elevates the ocean-climate-biodiversity nexus via collaborative science, finance, and policy. Key policy insights: Ocean and marine ecosystem impacts of climate change were widely acknowledged, and referenced by ninety-one percent of submissions. After decades of slow integration of ocean into climate policy, the Ocean Dialogue submissions acknowledge that climate policy must address linkages with the ocean and its biodiversity. Concerns include changing ocean impacts, carbon sinks and blue carbon opportunities, and the need for ecosystem resilience, biodiversity management and increased institutional interactions. Continuation of this Dialogue, with strengthened collaboration between States and non-state actors, may give rise to multilateral and multilevel decision-making toward sustainable climate, ocean and biodiversity action. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2022,,Clim. Policy,22,2,254-271,,10.1080/14693062.2021.1990004,,#121,Dobush 2022,"",""
"Understanding barriers to collaborative governance for the food-energy-water nexus: The case of Phoenix, Arizona","Jones, J.L.; White, D.D.","Food-energy-water (FEW) nexus governance includes the communication and collaboration among multi-level stakeholders across sectoral boundaries of the resources for decision-making. It can increase resource security and decrease unintended consequences, as compared to single-sector governance approaches. Despite these benefits, in practice, many decisions continue to be made separately from one another without cross-sector collaboration. This research integrates the theory of collaborative governance with the concept of the FEW nexus to identify and understand the barriers to this collaboration and to provide recommendations for increased collaborative FEW nexus governance. Focusing on the Phoenix, Arizona metropolitan area, a water-scarce region with a growing population, we conduct a comprehensive case study with social network analysis, participant observation, and interviews. We present the results of our analysis in three sections. First, we identify the key barriers to collaborative FEW nexus governance within four identified themes: structural asymmetries, process asymmetries, communication and coordination, and external influences. Second, we unpack how stakeholders in our study case experience these barriers. Finally, from our case study, we provide recommendations for overcoming barriers and implementing collaborative FEW nexus governance in practice, such as building trust and finding mutual benefit. We conclude that “sector mismatch,” similar to scale mismatch, is the main cause of the identified barriers and that approaches to collaborative FEW nexus governance must address this mismatch for successful engagement. © 2021 Elsevier Ltd",2022,,Environ. Sci. Policy,127,,111-119,,10.1016/j.envsci.2021.10.025,,#122,Jones 2022,"",""
Simulating the economic and environmental effects of integrated policies in energy-carbon-water nexus of China,"Zhao, Y.; Shi, Q.; li, H.; Qian, Z.; Zheng, L.; Wang, S.; He, Y.","This study aims to simulate the economic and environmental effects of energy-carbon-water (ECW) policies in China. The main novelty works are to clarify the theoretical ECW nexus mechanism at macro-economic level and develop the ECW-CGE policy assessment model with ECW policy modules integrated. Using this model, isolated and integrated ECW policy scenarios are designed and simulated in 2050. Policy effectiveness and co-effects are further discussed. The main findings are: (1) For economic effects, GDP losses grow from 0.31 % in water policy scenario W1 to 1.51 % in integrated policy scenario ECW2. Energy and carbon emission policies cause greater outputs losses in energy and carbon intensive sectors, while water policy impacts stronger on agricultural and service sectors. (2) For environmental effects, integrated policy scenarios reduce the most of ECW, and isolated ones mainly affect their targeted ECW elements. (3) For policy effectiveness, isolated policy scenarios have greater individual effectiveness, integrated ones could balance overall ECW management. (4) Synergy and trade-off effects exist in all scenarios. Governance cooperation and differentiated sectoral policies are needed to realize sustainable development in ECW system. The main findings could inspire ECW management policy makings both for China and countries with similar environmental constraints. © 2021 Elsevier Ltd",2022,,Energy,238,,,,10.1016/j.energy.2021.121783,,#124,Zhao 2022,"",""
Designing policy mixes for emerging wicked problems. The case of pharmaceutical residues in freshwaters,"Kirschke, S.; Kosow, H.","Wicked problems continuously emerge in the field of environmental governance. Characterized by goal conflicts, complexity, and uncertainty, wicked problems typically call for participatory policy designs. However, the effects of participation are widely unclear, given the indefinite nature of solutions to wicked problems. This research sheds light on this debate by developing and applying a systematic structural approach to assess policy mixes for emerging wicked problems. Based on a review of literature in the field of public policy and environmental governance, we identify eight assessment criteria matching three dimensions of wicked problems: coherence, consistency, congruence to address conflicts; comprehensiveness and diversity to address complexity; and adaptability, reversibility, and robustness to address informational uncertainty. The concept is demonstrated taking as an example two recently proposed policy mixes to address pharmaceutical freshwater pollution in Germany. This concept demonstration suggests that policy mixes resulting from desk research and participatory processes differ in the way they address wicked problems. These results contribute to systematically assess the role of participation in designing policy mixes for emerging wicked policy problems and open up for more advanced discussions on the role of structural approaches in public policy analyses. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",2022,,J. Environ. Policy Plann.,24,5,486-497,,10.1080/1523908X.2021.1960808,,#125,Kirschke 2022,Aliny Pires (2023-05-07 13:18:53)(Screen): biodiversity and health; ,""
Water/climate nexus environmental rural-urban migration and coping strategies,"Mianabadi, A.; Davary, K.; Kolahi, M.; Fisher, J.","Rural-urban migration is a challenging issue for communities, and is influenced by interactions between numerous push and pull factors. To better understand the interacting drivers of rural-urban migration, the study investigates the factors which influence migration from rural areas in Sistan to Mashhad city in Iran. The investigation was conducted using questionnaires and deep interviews. The results show that the main reason for migration from Sistan to Mashhad is environmental degradation including drought and water scarcity, followed by economic and government operational plans for supporting rural people. However, some people stay in Sistan in spite of the current unpleasant environmental and economic conditions. The results demonstrated cultural and social factors as the main motivations for people remaining in villages. Since the factors could be more challenging under future global warming, adaptive participatory governance is needed to link civil society, authorities, scientists, and the land to develop nature-based and rural-urban migration solutions. © 2021 Newcastle University.",2022,,J. Environ. Plann. Manage.,65,5,852-876,,10.1080/09640568.2021.1915259,,#128,Mianabadi 2022,Aliny Pires (2023-03-20 19:06:15)(Screen): Discuss social aspects of nexus implementation...; ,""
Food-energy-water security in sub-Saharan Africa: Quantitative and spatial assessments using an indicator-based approach,"Nkiaka, E.; Okpara, U.T.; Okumah, M.","The challenge of achieving food, energy and water (FEW) security is greatest in sub-Saharan Africa (SSA) where millions of people lack access to electricity, reliable drinking water and one in four people are undernourished. To develop targeted policies, it is necessary to identify at-risk countries and the spatial patterns of FEW insecurity in the region. However, country and sub-regional level assessments of FEW security have received scant attention. In this study, we carried out quantitative and spatial assessments of FEW security in SSA using the Pardee Rand FEW Index. Results show that 41 countries in SSA are FEW insecure, with Burundi being the most affected country while the West African sub-region seems to have many FEW insecure countries. Spatial analysis of FEW security reveals the presence of spatial patterns in the distribution of FEW insecurity in SSA suggesting that a sub-regional approach may be used to tackle this challenge. However, literature review shows that this has to be approached with caution given that different contextual factors such as socio-economic and governance conditions may influence FEW security within countries. Our analyses imply that any policy response designed to enhance FEW security needs to address both socio-economic, governance and other contextual factors within countries. © 2021 Elsevier B.V.",2021,,Environ. Dev.,40,,,,10.1016/j.envdev.2021.100655,,#133,Nkiaka 2021,"",""
Groundwater-sourced irrigation and agro-power subsidies: Boon or bane for small/marginal farmers in India?,"Chaudhuri, S.; Parakh, D.; Roy, M.; Kaur, H.","Growing inequity in access to sustainable irrigation supply services, groundwater and electricity in particular, has become core agendas in many recent global development dialogues on account of food/nutritional security, ensuring on-farm livelihood opportunities, rural poverty alleviation and development. Herein, we aim to present a nation-wide appraisal of eco-environmental and socioeconomic ramifications of subsidizing farm-power services in India, to highlight future requirements to conserve groundwater reserves so as to ensure sustainable irrigation supply services. We adopted a mixed method approach, coupling secondary data analysis (obtained from various governmental archives), with a systematic review of relevant global literature. For the latter, we adopted a multi-stage PRISMA method (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) to summarize observations from post-2000 literature. Our results indicate that, over the years, groundwater has emerged as the mainstay of the irrigation sector in India (via millions of tube/bore wells), replacing surface-water systems (canals). However, unsustainable groundwater drafting has led to (i) significant groundwater drawdowns in most Indian states; (ii) exacerbated greenhouse gas emissions; and (iii) caused extensive soil-water salinization, which impede sustainable agrarian/rural development on long-run. Current literature, however, suggests that, unsustainable groundwater drafting is indulged at policy level only by (i) relaxed groundwater tariffing scheme, and (ii) lucrative agro-power subsidies – collectively which offer the farmers free reign to draft groundwater at will. We reflect on the rise of groundwater market, leading to disproportionate access to groundwater for irrigation, and tragedy of the less-endowed sections of the famring communities. We urge the concerned authorities to devise and implement strategic institutional reforms to bolster the agro-power subsidy delivery mechanisms, and reflect on opportunities of nationwide adoption of feeder channel segregation (FCS) and initiate minimum energy support (MES) schemes. The idea is to make the agro-energy sector more efficient (based on notions of equity, fairness and transparency for all to access the benefits. In the final section we urge the authorities to adopt a systems' thinking approach to identify the key barriers to on-ground implementation of FCS and MES; introduce smart metering system, and above all, incorporate the water-food-energy nexus application in mainstream decision making for irrigation services. The idea is to identify/develop means of resource co-management, identify synergies and trade-off, within a unified framework of irrigation systems’ governance that balances resources supply and demand, without endangering the ecosystem services. We also outline potential research directions; emphasize on need of targeted, process-level investigations with increased case studies, and urge the authorities for improved data dissemination and accessibility. © 2021 Elsevier B.V.",2021,,Groundw. Sustain. Dev,15,,,,10.1016/j.gsd.2021.100690,,#135,Chaudhuri 2021,"",""
Policy and governance dynamics in the water-energy-food-land nexus of biofuels: Proposing a qualitative analysis model,"Lazaro, L.L.B.; Giatti, L.L.; Bermann, C.; Giarolla, A.; Ometto, J.","The production of biofuels is inextricably linked with the water-energy-food-land (WEFL) nexus. Understanding these linkages is necessary to formulate effective policies that can influence positive outcomes and contribute to the realization of long-term economic, environmental, and social goals. The use of biofuels can help achieve the United Nation's Sustainable Development Goals (SDGs) and implement the Paris Agreement on climate change. However, the biofuels sector must account for its interdependencies and trade-offs with other sectors. In this study, we formulate a qualitative analytical model that goes beyond the three water-energy-food nexus components by incorporating other elements, such as policy, innovation, governance, and labor to examine their effect as influencing factors and to understand how synergies, trade-offs, and long-overlooked interlinkages between sectors and among existing policies and institutions can become visible. This qualitative model was applied to the case of ethanol in Brazil, for which a large corpus was constructed from the scientific literature, documents and sustainability reports from sugarcane ethanol companies. We used a supervised latent Dirichlet allocation (sLDA) algorithm along with co-occurrence and network analyses. The results demonstrate this approach can be used to evaluate the interfaces between science, policy, and businesses within the WEFL-biofuels nexus. This is done by identifying how best to integrate the development of policies, governance, and stakeholder actions to support cost-effective decisions for optimal resource management and regulatory processes while enabling better integration of scientific insight and policy-making. We also identified how these four influencing factors are of vital importance within the nexus and, if properly addressed, can contribute to more holistic nexus thinking management. © 2021 Elsevier Ltd",2021,,Renewable Sustainable Energy Rev,149,,,,10.1016/j.rser.2021.111384,,#144,Lazaro 2021,"",""
Urban water-energy-food-climate nexus in integrated wastewater and reuse systems: Cyber-physical framework and innovations,"Radini, S.; Marinelli, E.; Akyol, Ç.; Eusebi, A.L.; Vasilaki, V.; Mancini, A.; Frontoni, E.; Bischetti, G.B.; Gandolfi, C.; Katsou, E.; Fatone, F.","Wastewater treatment is one of the major carriers of the water-energy-food-climate (WEFC) nexus, and although the relationship between water and energy is well recognized, there is still a lack of adequate analysis of the cyber-physical framework to address and assess urban and peri-urban WEFC nexus in an integrated approach. In this review paper, we deeply analyze and summarize the modelling tools and data that are currently used to quantify the nexus in wastewater treatment. Currently, comprehensive models and tools are missing that consider the interconnections amongst catchment, sewer network, wastewater treatment plant (WWTP), river and climatic system in a holistic approach and define relevant monitoring requirements and trustable information provision. Cyber-physical systems provide a technological ground for an efficient management of such integrated systems. The nexus approach in precision irrigation and smart agriculture is further discussed in the paper, highlighting the issue of water reuse and the engagement of different levels of stakeholders. Digital solutions and serious games addressing the nexus in urban and peri-urban water management are also presented to facilitate innovative practice aspects and to foster public involvement. Adaptable digital solutions can help to understand stakeholders’ perception of water quality and its governance and to improve levels of awareness and collaboration between utilities, authorities, farmers and citizens. Finally, recommendations on the added value of currently used models, tools and possible digital solutions are given to WWTP and reclamation managers and/or operators to bring the WEFC nexus approach on the operative environment. © 2021 Elsevier Ltd",2021,,Appl. Energy,298,,,,10.1016/j.apenergy.2021.117268,,#147,Radini 2021,"",""
Participatory Water-Food-Energy Nexus Approach for Evaluation and Design of Groundwater Governance,"Ghafoori-Kharanagh, S.; Banihabib, M.E.; Javadi, S.; Randhir, T.O.","Improving the groundwater governance structure can help reduce groundwater decline and improve the state of an aquifer. This study develops an approach to modify groundwater governance based on a participatory, water-food-energy (WFE) nexus. Given the need for the participation of actors in the decision-making for the WFE nexus, we identified and selected some powerful nexus actors. Using the actor’s viewpoints, factors that led to excessive withdrawal of groundwater resources in each sector were identified as governance challenges. Using the DPSIR (Driving Force-Pressure-State-Impact-Response) approach, the actors assessed the cause-and-effect relationships of the groundwater governance challenges and proposed modification in the groundwater governance. Thirteen groundwater governance scenarios were defined. Then, the impact of scenarios on WFE sectors was evaluated by the participation of nexus actors and the nexus assessment ranking of the scenarios. The results show that, out of the 13 groundwater governance scenarios, only seven scenarios had positive effects in all three sectors (WFE). The scenario of developing and enforcing region-specific cropping patterns and value-chain management has the highest rank. This paper highlights the need for the participation of actors in decision-making and the use of WFE nexus in modifying the groundwater governance system. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.",2021,,Water Resour. Manage.,35,11,3481-3495,,10.1007/s11269-021-02894-4,,#151,Ghafoori-Kharanagh 2021,"",""
Empowering blue economy: From underrated ecosystem to sustainable industry,"Choudhary, P.; G, V.S.; Khade, M.; Savant, S.; Musale, A.; G, R.K.K.; Chelliah, M.S.; Dasgupta, S.","With increasing demand for resources to achieve global food-water-energy nexus and rapid decline in land-based sources, oceans represent both solution and boost to sustainable environment and economy. In addition to fundamental part of earth's ecosystem for uncatalogued diversity of life, oceans are undervalued economy powerhouse with gross marine product value. With sustainable management of existing assets including shipping, transportation, manufacturing, fisheries, tourism and exploration of new business like marine biotechnology and renewable energy, the ocean or blue economy has potential to fulfill sustainable development goals (SDG). In spite of recognition of blue economy as a new economic frontier, investments by existing industries and emergence of new ones are limited and less known, hence require more in depth attention and scientific understanding. In the present study, authors present a systematic comparative assessment of blue economy sectors with distinct challenges and strategies to be further explored and implemented for industrial deployment. The conceptualization of integrated routes of bio(economy) by the current study can act as gateway for key stakeholders, i.e. governance, bluepreneurs (scientists and industries) to prioritize technologies for sustainable applications of marine resources. © 2021 Elsevier Ltd",2021,,J. Environ. Manage.,291,,,,10.1016/j.jenvman.2021.112697,,#153,Choudhary 2021,"",""
Water-energy-food nexus approach at the core of businesses – How businesses in the bioenergy sector in Brazil are responding to integrated challenges?,"Benites Lazaro, L.L.; Giatti, L.L.; Puppim de Oliveira, J.A.","The management of water-energy-food nexus lies at the heart of the nexus approach, addressing the trade-offs and externalities across these three components while focusing on system efficiency instead of isolated sectoral productivity. This latter approach posits that there is no possible isolated efficiency and that decision-making based on classic management theories needs to change. This study examines whether the nexus approach is embedded into business sustainable initiatives, and suggests ways to improve the judicious use of water, soil/land, energy, and healthy food production. We use the latent Dirichlet allocation method to analyze the sustainability reports of Brazil's largest bioenergy companies and documents from the Brazilian Sugarcane Industry Association from 2007 to 2020 in order to understand the response of these companies to nexus integration challenges. Despite efforts by bioenergy firms to minimize the impacts of their production processes, our results show that the nexus thinking is overlooked in many aspects, such as food security, water scarcity and working conditions. Furthermore, policies and decisions that appear to incentivize sustainability in one sector, such as energy, may lead to unintended oversights in others. Management could be improved by implementing nexus thinking that considers integrated governance between the different sectors involved in the production of bioenergy. © 2021 Elsevier Ltd",2021,,J. Clean. Prod.,303,,,,10.1016/j.jclepro.2021.127102,,#161,BenitesLazaro 2021,Jonathan Rhodes (2023-05-01 08:08:35)(Screen): Information on enablers and barriers; ,""
Nexus between water security framework and public health: A comprehensive scientific review,"Paudel, S.; Kumar, P.; Dasgupta, R.; Johnson, B.A.; Avtar, R.; Shaw, R.; Mishra, B.K.; Kanbara, S.","Water scarcity, together with the projected impacts of water stress worldwide, has led to a rapid increase in research on measuring water security. However, water security has been conceptualized under different perspectives, including various aspects and dimensions. Since public health is also an integral part of water security, it is necessary to understand how health has been incorporated as a dimension in the existing water security frameworks. While supply–demand and governance narratives dominated several popular water security frameworks, studies that are specifically designed for public health purposes are generally lacking. This research aims to address this gap, firstly by assessing the multiple thematic dimensions of water security frameworks in scientific disclosure; and secondly by looking into the public health dimensions and evaluating their importance and integration in the existing water security frameworks. For this, a systematic review of the Scopus database was undertaken using Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. A detailed review analysis of 77 relevant papers was performed. The result shows that 11 distinct dimensions have been used to design the existing water security framework. Although public health aspects were mentioned in 51% of the papers, direct health impacts were considered only by 18%, and indirect health impacts or mediators were considered by 33% of the papers. Among direct health impacts, diarrhea is the most prevalent one considered for developing a water security framework. Among different indirect or mediating factors, poor accessibility and availability of water resources in terms of time and distance is a big determinant for causing mental illnesses, such as stress or anxiety, which are being considered when framing water security framework, particularly in developing nations. Water quantity is more of a common issue for both developed and developing countries, water quality and mismanagement of water supply-related infrastructure is the main concern for developing nations, which proved to be the biggest hurdle for achieving water security. It is also necessary to consider how people treat and consume the water available to them. The result of this study sheds light on existing gaps for different water security frameworks and provides policy-relevant guidelines for its betterment. Also, it stressed that a more wide and holistic approach must be considered when framing a water security framework to result in sustainable water management and human well-being. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,,Water,13,10,,,10.3390/w13101365,,#171,Paudel 2021,"",""
Assessing progress towards sustainable development goals through nexus planning,"Mabhaudhi, T.; Nhamo, L.; Chibarabada, T.P.; Mabaya, G.; Mpandeli, S.; Liphadzi, S.; Senzanje, A.; Naidoo, D.; Modi, A.T.; Chivenge, P.P.","Sustainable Development Goals (SDGs) acknowledge the inter-linkages between human wellbeing, economic prosperity, and a healthy environment and, hence, are associated with a wide range of topical issues that include the securities of water, energy and food resources, poverty eradication, economic development, climate change, health, among others. As SDGs are assessed through targets to be achieved by 2030 and monitored through measurable indicators, this study applied the nexus planning model to monitor and evaluate progress towards SDGs using South Africa as a case study. The study highlighted pathways to ensure socio-ecological sustainability and environmental health by establishing the connectivity between SDGs and nexus approaches. The linkages between SDGs and nexus planning facilitated the sustainable management of resources in an integrated manner. They addressed the cross-sectoral synergies, value-addition, and trade-offs within interlinked sectors. The connectedness of current challenges facing humankind (climate change, rapid urbanisation, migration, and the emergence of novel infectious diseases) require transformative approaches that address these cross-cutting challenges holistically. Managing the intricate relationships between distinct but interconnected sectors through nexus planning has provided decision support tools to formulate coherent strategies that drive resilience and sustainability. The established linkages between nexus planning and SDGs have strengthened cross-sectoral collaboration and unpacked measures for cooperative governance and management through evidence-based interven-tions. As food production, water provision, and energy accessibility are the major socio-economic and environmental issues currently attracting global attention; the methodology promotes attaining sustainability by 2030. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,,Water,13,9,,,10.3390/w13091321,,#173,Mabhaudhi 2021,"",""
Shifting from Production-Based to Consumption-Based Nexus Governance: Evidence from an Input–Output Analysis of the Local Water-Energy-Food Nexus,"Huang, D.; Shen, Z.; Sun, C.; Li, G.","The nexus approach is a promising method used to address issues regarding environmental dilemmas. However, effective consumption-based and production-based nexus governance strategies are not well understood. Using data envelopment analysis and China’s provincial data for 2017, this study analysed the input–output efficiency of the water-energy-food nexus by considering production-based intensity, consumption-based intensity, and the quantity index system. The results show that policies involving consumption-based intensity metrics can be more efficient, and the efficiency of both production-based intensity (0.482) and consumption-based intensity (0.682) are much higher than the efficiency of the quantity (0.378) index system. The results also indicate that province-specific consumption-based governance strategies are crucial for 30 provinces in China. Finally, three policy directions for nexus governance in China are proposed, namely, shifting policy attention from production-based governance to consumption-based governance, focusing intensity metrics on scale efficiency and aiming quantity metrics on pure technical efficiency, and localizing province-specific management strategies. This paper compares consumption-based and production-based nexus approaches, and the results indicate that a call for consumption-based approaches in future nexus modelling and governance is appropriate. This paper also has implications for China’s nexus governance. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.",2021,,Water Resour. Manage.,35,6,1673-1688,,10.1007/s11269-021-02797-4,,#178,Huang 2021,"",""
Policy Entrepreneurs in Public Administration: A Social Network Analysis,"Petridou, E.; Becker, P.; Sparf, J.","This article examines the role of policy entrepreneurs in promoting change in flood risk mitigation at the local level in Sweden through a comparative study of two Swedish municipalities with different approaches to flood risk governance; as a technical issue or a social issue. The municipality in which flood risk mitigation is addressed as a social issue exhibits a larger size of the network mitigating flood risk, more diverse actors involved, and a more central location of the politicians and senior management. Moreover, the analysis points to the salience of a bureaucratic policy entrepreneur in promoting this shift toward addressing it as a social issue, and shows how they use relational strategies to frame the issue as relating to climate change action. The article operationalizes sociability and credibility, two of the attributes of policy entrepreneurs, and thus, contributes to the theoretical and methodological discussion of policy entrepreneurs in general, and as they pertain to environmental policy in particular. Related Articles: David, Charles-Philippe. 2015. “Policy Entrepreneurs and the Reorientation of National Security Policy under the G. W. Bush Administration (2001-04).” Politics & Policy 43 (1): 163-195. https://doi.org/10.1111/polp.12106. Shock, David R. 2013. “The Significance of Opposition Entrepreneurs on Local Sales Tax Referendum Outcomes.” Politics & Policy 41 (4): 588-614. https://doi.org/10.1111/polp.12028. Sidha, Zedekia, Patrick Asingo, and Justine Magutu. 2021. “Street-Level Bureaucrats as Policy Entrepreneurs: The Nexus between Timing of Traffic Enforcement Activities and Road Safety Policy Outcomes.” Politics & Policy Early View. https://doi.org/10.1111/polp.12386. © 2021 The Authors. Politics & Policy published by Wiley Periodicals LLC on behalf of Policy Studies Organization",2021,,Polit. Policy,49,2,414-445,,10.1111/polp.12400,,#180,Petridou 2021,"",""
"Aquaculture-capture fisheries nexus under Covid-19: impacts, diversity, and social-ecological resilience","Manlosa, A.O.; Hornidge, A.-K.; Schlüter, A.","The Covid-19 pandemic is a global shock that is significantly affecting coastal social-ecological systems (SES) in different parts of the world. Its widespread impacts have unravelled vulnerabilities in many aspects of society, including food systems. Our study investigated the impacts of a lockdown associated with the pandemic in the province of Bulacan, in the region of Central Luzon, Philippines, where aquaculture and capture fisheries are important and interconnected sectors. In particular, we focused on impacts related to production and market. We considered people’s coping strategies and the factors that enabled such strategies. Our investigation adopted a case study approach and drew on qualitative data analysed through thematic analysis. The findings revealed differentiated mechanisms through which aquaculture and capture fisheries production were impacted. Both were strongly affected by market disruptions but through slightly different ways. In effect, the lockdown provided the impetus for the uptake and spreading of practices that were previously peripheral, particularly in relation to market exchanges. The study also identified a variety of coping strategies, as well as the importance of social support in the form of food aid, financial assistance, and institutional livelihood assistance. Finally, it discusses the importance of diversity in food sources, the role of local food systems, and governance implications for foregrounding social-ecological resilience in short-term response and long-term recovery. © 2021, The Author(s).",2021,,Marit. Stud.,20,1,75-85,,10.1007/s40152-021-00213-6,,#186,Manlosa 2021,"",""
Scale-related governance challenges in the water–energy–food nexus: toward a diagnostic approach,"Pahl-Wostl, C.; Gorris, P.; Jager, N.; Koch, L.; Lebel, L.; Stein, C.; Venghaus, S.; Withanachchi, S.","The notion of a water–energy–food (WEF) nexus was introduced to encourage a more holistic perspective on the sustainable development of natural resources. Most attention has been directed at identifying potential synergies and trade-offs among sectors that could be addressed with improved technologies and management. The governance of the WEF nexus more broadly has received comparatively little attention, and the importance of scale in space and time has been largely ignored. Inspired by scholarship on multi-level governance in individual sectors, this paper identifies four scale-related governance challenges in the WEF nexus, namely: (1) scalar fit, which arises when planning and operating procedures work at different levels along the scales of space and time in different sectors; (2) scalar strategies, wherever the levels at which actors have influence and in which action takes place are contested and negotiated; (3) institutional interplay, where rules and norms in different sectors influence each other at different levels; (4) scalar uncertainty, arising out of the complexity of multi-level and multi-scale interactions. The relevance of these four challenges is illustrated with case studies from developed and developing countries. These examples show the importance of considering multiple levels and scales when assessing the likely effectiveness of WEF nexus governance mechanisms or proposals. The cases underline the need to pay close attention to issues of power, contestation, and negotiation, in addition to the analysis of institutional design. Thus, this paper recommends that nexus governance efforts and proposals be scrutinized for scale assumptions. The four identified challenges offer a suitable starting point for diagnosis. © 2020, The Author(s).",2021,,Sustainability Sci.,16,2,615-629,,10.1007/s11625-020-00888-6,,#188,Pahl-Wostl 2021,"",""
